date,time,ref,sen,atn,flow,temp,status,battery,bc,location,period,day
2/28/17,12:48:00,867123,923003,-6.245,99,23,0,100,,,,1
2/28/17,12:48:30,867109,922909,-6.237,99,23,0,100,983,,,1
2/28/17,12:49:00,867157,922803,-6.22,98,23,0,100,1973,,,1
2/28/17,12:49:30,867137,922656,-6.206,99,23,0,100,1563,,,1
2/28/17,12:50:00,867226,922644,-6.194,99,23,0,100,1327,above,off peak,1
2/28/17,12:50:30,867324,922590,-6.177,99,22,0,100,1968,above,off peak,1
2/28/17,12:51:00,867449,922551,-6.159,99,22,0,100,2139,above,off peak,1
2/28/17,12:51:30,867633,922585,-6.141,99,22,0,100,2011,above,off peak,1
2/28/17,12:52:00,867778,922529,-6.118,99,22,0,100,2614,above,off peak,1
2/28/17,12:52:30,867954,922435,-6.088,99,21,0,100,3496,above,off peak,1
2/28/17,12:53:00,868125,922348,-6.059,99,21,0,100,3343,above,off peak,1
2/28/17,12:53:30,868300,922289,-6.032,99,21,0,100,3047,above,off peak,1
2/28/17,12:54:00,868473,922254,-6.008,99,20,0,100,2721,above,off peak,1
2/28/17,12:54:30,868633,922201,-5.984,99,20,0,100,2773,above,off peak,1
2/28/17,12:55:00,868805,922150,-5.959,98,20,0,100,2936,above,off peak,1
2/28/17,12:55:30,868892,922013,-5.934,99,20,0,100,2854,above,off peak,1
2/28/17,12:56:00,869074,921983,-5.91,99,20,0,100,2777,above,off peak,1
2/28/17,12:56:30,869225,921921,-5.886,99,20,0,100,2765,above,off peak,1
2/28/17,12:57:00,869385,921865,-5.861,99,19,0,100,2809,above,off peak,1
2/28/17,12:57:30,869515,921798,-5.839,99,19,0,100,2550,above,off peak,1
2/28/17,12:58:00,869636,921725,-5.817,99,19,0,100,2505,above,off peak,1
2/28/17,12:58:30,869781,921680,-5.796,98,19,0,100,2499,above,off peak,1
2/28/17,12:59:00,869920,921584,-5.769,99,19,0,100,3029,above,off peak,1
2/28/17,12:59:30,870046,921513,-5.747,99,19,0,100,2546,above,off peak,1
2/28/17,13:00:00,870203,921476,-5.725,99,19,0,100,2531,above,off peak,1
2/28/17,13:00:30,870278,921364,-5.704,99,18,0,100,2384,above,off peak,1
2/28/17,13:01:00,870450,921371,-5.685,99,18,0,100,2180,above,off peak,1
2/28/17,13:01:30,870613,921380,-5.667,99,18,0,100,2036,above,off peak,1
2/28/17,13:02:00,870686,921288,-5.649,99,18,0,100,2108,above,off peak,1
2/28/17,13:02:30,870818,921278,-5.633,99,18,0,100,1864,above,off peak,1
2/28/17,13:03:00,870978,921292,-5.616,99,18,0,100,1934,above,off peak,1
2/28/17,13:03:30,871138,921301,-5.599,99,18,0,100,1996,above,off peak,1
2/28/17,13:04:00,871292,921320,-5.583,99,18,0,100,1792,above,off peak,1
2/28/17,13:04:30,871347,921248,-5.569,98,18,0,100,1638,above,off peak,1
2/28/17,13:05:00,871417,921196,-5.555,99,17,0,100,1570,above,off peak,1
2/28/17,13:05:30,871526,921208,-5.544,98,17,0,100,1299,above,off peak,1
2/28/17,13:06:00,871628,921230,-5.535,98,17,0,100,1080,above,off peak,1
2/28/17,13:06:30,871708,921256,-5.528,98,17,0,100,737,above,off peak,1
2/28/17,13:07:00,871787,921271,-5.521,99,17,0,100,853,above,off peak,1
2/28/17,13:07:30,871887,921300,-5.513,98,17,0,100,965,above,off peak,1
2/28/17,13:08:00,871940,921276,-5.504,100,17,0,100,986,above,off peak,1
2/28/17,13:08:30,872077,921326,-5.494,98,17,0,100,1192,above,off peak,1
2/28/17,13:09:00,872076,921241,-5.485,99,17,0,100,1046,above,off peak,1
2/28/17,13:09:30,872167,921255,-5.476,99,17,0,100,1023,above,off peak,1
2/28/17,13:10:00,872234,921243,-5.467,99,17,0,100,1031,above,off peak,1
2/28/17,13:10:30,872286,921204,-5.456,98,17,0,100,1182,above,off peak,1
2/28/17,13:11:00,872306,921131,-5.446,99,17,0,100,1172,above,off peak,1
2/28/17,13:11:30,872364,921034,-5.429,98,16,0,100,1991,above,off peak,1
2/28/17,13:12:00,872434,920943,-5.411,99,16,0,100,2055,above,off peak,1
2/28/17,13:12:30,872472,920728,-5.383,99,16,0,100,3179,above,off peak,1
2/28/17,13:13:00,872470,920531,-5.362,99,16,0,100,2429,above,off peak,1
2/28/17,13:13:30,872569,920428,-5.34,99,16,0,100,2586,above,off peak,1
2/28/17,13:14:00,872629,920289,-5.318,99,16,0,100,2522,above,off peak,1
2/28/17,13:14:30,872675,920205,-5.303,99,16,0,100,1652,above,off peak,1
2/28/17,13:15:00,872703,920108,-5.29,99,16,0,100,1578,above,off peak,1
2/28/17,13:15:30,872766,920074,-5.279,99,16,0,100,1252,above,off peak,1
2/28/17,13:16:00,872800,919999,-5.267,99,16,0,100,1382,above,off peak,1
2/28/17,13:16:30,872856,919906,-5.25,99,16,0,100,1896,above,off peak,1
2/28/17,13:17:00,872842,919727,-5.232,98,16,0,100,2070,above,off peak,1
2/28/17,13:17:30,872943,919725,-5.22,98,16,0,100,1366,above,off peak,1
2/28/17,13:18:00,872972,919596,-5.203,99,16,0,100,1991,above,off peak,1
2/28/17,13:18:30,872966,919459,-5.189,98,16,0,100,1647,above,off peak,1
2/28/17,13:19:00,873065,919424,-5.174,99,16,0,100,1738,above,off peak,1
2/28/17,13:19:30,873073,919288,-5.158,99,16,0,100,1803,above,off peak,1
2/28/17,13:20:00,873113,919183,-5.142,99,16,0,100,1836,above,off peak,1
2/28/17,13:20:30,873143,919040,-5.123,99,16,0,100,2180,above,off peak,1
2/28/17,13:21:00,873026,918748,-5.105,99,16,0,100,2109,,,1
2/28/17,13:21:30,873073,918589,-5.082,99,16,0,100,2604,,,1
2/28/17,13:22:00,872967,918364,-5.07,98,16,0,100,1432,,,1
2/28/17,13:22:30,872859,918101,-5.053,99,17,0,100,1867,,,1
2/28/17,13:23:00,872751,917859,-5.039,98,17,0,100,1622,,,1
2/28/17,13:23:30,872651,917628,-5.026,99,17,0,100,1573,,,1
2/28/17,13:24:00,872588,917443,-5.013,98,18,0,100,1500,,,1
2/28/17,13:24:30,872503,917204,-4.996,99,18,0,100,1872,,,1
2/28/17,13:25:00,872522,917108,-4.984,99,18,0,100,1451,,,1
2/28/17,13:25:30,872424,916885,-4.971,99,18,0,100,1502,,,1
2/28/17,13:26:00,872375,916711,-4.957,99,18,0,100,1533,,,1
2/28/17,13:26:30,872374,916590,-4.944,99,18,0,100,1502,,,1
2/28/17,13:27:00,872373,916269,-4.909,99,18,0,100,4006,,,1
2/28/17,13:27:30,872401,915917,-4.868,99,18,0,100,4777,,,1
2/28/17,13:28:00,872392,915395,-4.812,99,18,0,100,6423,,,1
2/28/17,13:28:30,872420,914895,-4.754,99,17,0,100,6638,,,1
2/28/17,13:29:00,872439,914356,-4.693,99,17,0,100,7012,,,1
2/28/17,13:29:30,872429,913358,-4.585,99,17,0,100,12400,,,1
2/28/17,13:30:00,872403,912364,-4.479,99,17,0,100,12153,,,1
2/28/17,13:30:30,872455,911683,-4.398,99,17,0,100,9252,,,1
2/28/17,13:31:00,872463,911065,-4.329,99,17,0,100,7886,,,1
2/28/17,13:31:30,872518,910424,-4.253,99,17,0,100,8799,,,1
2/28/17,13:32:00,872509,909036,-4.101,99,17,0,100,17389,,,1
2/28/17,13:32:30,872527,907783,-3.961,99,17,0,100,16064,,,1
2/28/17,13:33:00,872602,906895,-3.855,99,17,0,100,12216,below,off peak,1
2/28/17,13:33:30,872635,906061,-3.759,99,17,0,100,10991,below,off peak,1
2/28/17,13:34:00,872679,905170,-3.655,99,16,0,100,11868,below,off peak,1
2/28/17,13:34:30,872655,904047,-3.534,99,16,0,100,13929,below,off peak,1
2/28/17,13:35:00,872730,903104,-3.421,99,16,0,100,12962,below,off peak,1
2/28/17,13:35:30,872771,902095,-3.305,98,16,0,100,13503,below,off peak,1
2/28/17,13:36:00,872811,901048,-3.184,99,16,0,100,13852,below,off peak,1
2/28/17,13:36:30,872793,899968,-3.066,99,16,0,100,13525,below,off peak,1
2/28/17,13:37:00,872788,898885,-2.946,99,16,0,100,13751,below,off peak,1
2/28/17,13:37:30,872848,897991,-2.84,99,16,0,100,12207,below,off peak,1
2/28/17,13:38:00,872837,897044,-2.736,99,16,0,100,11963,below,off peak,1
2/28/17,13:38:30,872786,896161,-2.643,99,16,0,100,10630,below,off peak,1
2/28/17,13:39:00,872856,895387,-2.549,98,16,0,100,10946,below,off peak,1
2/28/17,13:39:30,872854,894551,-2.455,98,16,0,100,10801,below,off peak,1
2/28/17,13:40:00,872887,893865,-2.375,99,16,0,100,9237,below,off peak,1
2/28/17,13:40:30,872885,893156,-2.296,99,16,0,100,9079,below,off peak,1
2/28/17,13:41:00,872857,892452,-2.22,98,16,0,100,8769,below,off peak,1
2/28/17,13:41:30,872909,891839,-2.145,99,16,0,100,8568,below,off peak,1
2/28/17,13:42:00,872968,891235,-2.071,98,16,0,100,8637,below,off peak,1
2/28/17,13:42:30,873037,890570,-1.988,99,16,0,100,9472,below,off peak,1
2/28/17,13:43:00,873058,889859,-1.906,99,16,0,100,9441,below,off peak,1
2/28/17,13:43:30,873034,889156,-1.83,98,16,0,100,8843,below,off peak,1
2/28/17,13:44:00,873090,888479,-1.747,99,16,0,100,9476,below,off peak,1
2/28/17,13:44:30,873110,887721,-1.66,99,16,0,100,10057,below,off peak,1
2/28/17,13:45:00,873110,886963,-1.574,99,16,0,100,9802,below,off peak,1
2/28/17,13:45:30,873121,886267,-1.494,99,16,0,100,9152,below,off peak,1
2/28/17,13:46:00,873122,885533,-1.411,99,16,0,100,9520,below,off peak,1
2/28/17,13:46:30,873144,884835,-1.33,99,16,0,100,9337,below,off peak,1
2/28/17,13:47:00,873150,884115,-1.248,99,16,0,100,9420,below,off peak,1
2/28/17,13:47:30,873140,883383,-1.166,98,16,0,100,9469,below,off peak,1
2/28/17,13:48:00,873150,882663,-1.084,99,16,0,100,9488,below,off peak,1
2/28/17,13:48:30,873192,881997,-1.003,99,16,0,100,9213,below,off peak,1
2/28/17,13:49:00,873211,881322,-0.925,99,16,0,100,9035,below,off peak,1
2/28/17,13:49:30,873268,880709,-0.848,99,16,0,100,8733,below,off peak,1
2/28/17,13:50:00,873224,879974,-0.77,99,16,0,100,9002,below,off peak,1
2/28/17,13:50:30,873262,879343,-0.694,99,16,0,100,8730,below,off peak,1
2/28/17,13:51:00,873259,878658,-0.616,99,16,0,100,8903,below,off peak,1
2/28/17,13:51:30,873271,877929,-0.532,99,16,0,100,9682,below,off peak,1
2/28/17,13:52:00,873269,877192,-0.448,99,16,0,100,9611,below,off peak,1
2/28/17,13:52:30,873285,876285,-0.343,99,15,0,100,12081,below,off peak,1
2/28/17,13:53:00,873309,875417,-0.241,98,15,0,100,11806,below,off peak,1
