file.index,sample.no,date.time,bin_11.5,bin_15.4,bin_20.5,bin_27.4,bin_36.5,bin_48.7,bin_64.9,bin_86.6,bin_115.5,bin_154,bin_205.4,bin_273.8,bin_365.2,total.conc.num.cm3,median.nm,mean.nm,geo.mean.nm,mode.nm,gsd,particle.density.g.cc,location,period,day
4,1,2/28/17 13:33,648.4191,1019.9194,1093.8148,2102.667,2886.8135,3563.002,4084.7087,4188.0767,3224.9941,1417.0391,0,0,0,24229.4543,60.5293,66.0649,54.9099,86.5964,1.9076,1.2,below,off peak,1
4,2,2/28/17 13:34,833.6,2190.5999,2990.458,5765.5366,7528.062,8119.4126,7690.5103,6545.9194,4146.1313,1122.7401,0,0,0,46932.9703,49.8847,56.4825,47.736,48.6968,1.8177,1.2,below,off peak,1
4,3,2/28/17 13:35,962.0704,1723.7764,1852.4071,3550.0925,5061.7725,6221.7075,6779.9136,6443.8472,4573.2329,1709.8234,0,0,0,38878.6434,57.0061,63.0276,52.7509,64.9382,1.8756,1.2,below,off peak,1
4,4,2/28/17 13:36,633.6102,2429.5654,3240.1169,4474.3315,5551.5815,6445.875,6818.8169,6241.6133,4270.3599,1519.8691,0,0,0,41625.7398,52.4916,59.1197,49.0637,64.9382,1.8847,1.2,below,off peak,1
4,5,2/28/17 13:37,829.5883,1904.548,2351.6191,4037.6423,5324.5425,6081.394,6221.9106,5654.5464,3938.1711,1493.6646,0,0,0,37837.627,53.0542,59.9097,49.8585,64.9382,1.8792,1.2,below,off peak,1
4,6,2/28/17 13:38,980.3266,1982.3696,2258.3298,3909.594,5192.7729,5819.9458,5730.0898,4973.9912,3294.22,1133.7773,0,0,0,35275.4172,50.6995,57.4383,47.7048,48.6968,1.8832,1.2,below,off peak,1
4,7,2/28/17 13:39,854.9609,2092.1721,2366.3608,3664.0632,4748.7974,5306.438,5190.7188,4410.2607,2851.4592,956.429,0,0,0,32441.6602,49.2872,56.0512,46.4071,48.6968,1.889,1.2,below,off peak,1
4,8,2/28/17 13:40,1130.985,2361.616,2551.0876,4102.6533,5034.2056,5273.2231,4997.8433,4367.3447,2980.5901,1092.902,0,0,0,33892.4507,47.3653,55.1753,45.1334,48.6968,1.9228,1.2,below,off peak,1
4,9,2/28/17 13:41,1382.4946,2704.8955,2927.4753,4744.7905,5671.6782,5668.7383,5113.5469,4340.7217,2913.6394,1037.7909,0,0,0,36505.7714,44.6665,53.007,43.269,36.5174,1.9216,1.2,below,off peak,1
4,10,2/28/17 13:42,595.3455,3306.1292,5379.6943,6912.7012,7166.2339,6796.4512,6216.6226,5338.5239,3523.9746,1120.0731,0,0,0,46355.7494,42.3361,51.6793,42.6414,36.5174,1.8676,1.2,below,off peak,1
4,11,2/28/17 13:43,1943.9116,4516.2915,4411.0317,5724.6675,6251.6895,6080.3716,5535.2832,4777.4448,3230.4089,1115.6814,0,0,0,43586.7817,40.8102,50.0551,40.084,36.5174,1.9685,1.2,below,off peak,1
4,12,2/28/17 13:44,2712.7869,6268.8608,6237.7852,7799.8169,8045.9028,7264.1909,6181.0742,5186.0142,3555.5012,1341.9996,0,0,0,54593.9327,37.6164,47.3464,37.7274,36.5174,1.9656,1.2,below,off peak,1
4,13,2/28/17 13:45,2259.9951,5282.687,5338.7002,6994.5137,7357.5054,6758.7461,5874.584,5060.2593,3521.321,1323.0402,0,0,0,49771.3519,39.2067,48.9535,39.1029,36.5174,1.9658,1.2,below,off peak,1
4,14,2/28/17 13:46,2310.3782,5461.6055,5277.0083,6395.3926,6596.2441,6136.3086,5488.4517,4810.0815,3411.1316,1362.4086,0,0,0,47249.0106,38.7038,48.9034,38.6752,36.5174,1.9943,1.2,below,off peak,1
4,15,2/28/17 13:47,1906.7778,5149.6152,5248.5757,6196.5542,6454.6387,6167.5,5582.3276,4751.2075,3191.8533,1151.3385,0,0,0,45800.3885,39.2128,48.7913,38.9691,36.5174,1.9665,1.2,below,off peak,1
4,16,2/28/17 13:48,1888.6553,4864.1689,4971.1196,6119.9336,6381.2856,6001.0117,5376.1079,4646.0356,3202.4192,1196.7445,0,0,0,44647.4821,39.4318,49.2119,39.2706,36.5174,1.9696,1.2,below,off peak,1
4,17,2/28/17 13:49,1760.3041,4367.2856,4350.0659,5436.584,5886.5298,5671.3296,5022.9844,4121.6396,2629.053,830.6609,0,0,0,40076.4369,39.4164,48.1964,38.8083,36.5174,1.9453,1.2,below,off peak,1
4,18,2/28/17 13:50,1459.5316,3755.1707,3900.2666,4928.8081,5256.8975,5028.2944,4535.1626,3903.866,2684.1106,1029.6908,0,0,0,36481.7988,40.4588,50.0979,40.1,36.5174,1.9646,1.2,below,off peak,1
4,19,2/28/17 13:51,1216.3883,3313.1282,3551.7043,4498.1099,5109.8823,5251.1343,4921.0229,4135.4507,2736.0977,1027.0223,0,0,0,35759.9409,43.1233,51.8816,41.9302,48.6968,1.946,1.2,below,off peak,1
4,20,2/28/17 13:52,1142.9496,2379.4663,2315.6384,3469.0593,4103.21,4386.1255,4484.4893,4343.4312,3278.2263,1418.1566,0,0,0,31320.7524,49.8969,58.1119,46.706,64.9382,1.9893,1.2,below,off peak,1
4,21,2/28/17 13:53,1005.8774,2368.8594,2487.0803,3465.5623,4099.0864,4458.4326,4574.5317,4317.3804,3194.2659,1393.6595,0,0,0,31364.7359,49.7973,57.8765,46.6713,64.9382,1.9759,1.2,below,off peak,1
4,22,2/28/17 13:54,875.9255,2176.5752,2487.698,3713.0378,4452.8628,4688.3511,4518.5679,3997.6946,2791.3467,1113.4723,0,0,0,30815.5319,47.7648,55.8397,45.5781,48.6968,1.9277,1.2,below,off peak,1
4,23,2/28/17 13:55,865.868,2095.4482,2465.9468,3788.1462,4578.9189,5124.1274,5507.563,5484.5688,4242.3926,1934.6874,0,0,0,36087.6674,54.3919,61.8994,50.5481,64.9382,1.9459,1.2,below,off peak,1
4,24,2/28/17 13:56,772.9024,1967.5942,2328.4758,3424.7131,4284.2173,5071.3174,5640.1353,5581.5508,4179.2451,1786.4214,0,0,0,35036.5728,55.8901,62.55,51.4237,64.9382,1.9293,1.2,below,off peak,1
4,25,2/28/17 13:57,801.0789,1874.873,2243.752,3491.47,4106.2339,4456.0596,4735.3076,4771.6191,3733.7363,1706.8475,0,0,0,31920.978,53.5871,61.4476,50.0238,86.5964,1.9534,1.2,below,off peak,1
4,26,2/28/17 13:58,704.8033,1856.059,2153.1934,3281.3171,3838.3242,4200.6138,4500.9873,4538.6221,3458.1113,1450.8794,0,0,0,29982.9108,53.2896,60.821,49.6156,86.5964,1.9464,1.2,below,off peak,1
4,27,2/28/17 13:59,737.2724,1707.7247,2031.4669,3199.54,4021.6682,4624.375,4978.0581,4846.1353,3611.7549,1537.6293,0,0,0,31295.6248,54.7456,61.7653,50.8122,64.9382,1.9235,1.2,below,off peak,1
4,28,2/28/17 14:00,716.7156,1662.5831,1956.203,3170.3496,3878.002,4376.5049,4761.7407,4815.9683,3743.0657,1675.0948,0,0,0,30756.2277,55.5763,62.8186,51.5102,86.5964,1.936,1.2,below,off peak,1
4,29,2/28/17 14:01,604.5952,1311.1189,1596.235,2989.7615,4338.6929,5584.8706,6384.375,6282.7852,4626.8306,1897.8008,0,0,0,35617.0655,60.9232,66.1882,55.8893,64.9382,1.8479,1.2,below,off peak,1
4,30,2/28/17 14:02,679.8693,1409.3251,1718.8209,3121.1836,3943.7649,4524.2397,5008.0571,5189.667,4178.7554,2031.7323,0,0,0,31805.4153,58.7302,65.5455,54.1215,86.5964,1.9187,1.2,below,off peak,1
5,1,2/28/17 16:10,1919.8125,2891.7673,2181.1953,3051.4141,3413.8655,3358.4666,3268.0647,3234.9795,2642.8025,1361.6461,0,0,0,27324.014,43.47,54.5489,41.9696,36.5174,2.1105,1.2,below,peak,1
