date,time,co2.ppm,temp.deg.f,humidity.rh,co.ppm,location,period,day
2/28/17,12:50:30,492,55.2,38,0,above,off peak,1
2/28/17,12:51:30,498,53.6,41.1,0,above,off peak,1
2/28/17,12:52:30,431,48.1,43.6,0,above,off peak,1
2/28/17,12:53:30,431,47.6,48.5,0,above,off peak,1
2/28/17,12:54:30,446,46.2,52.7,0.2,above,off peak,1
2/28/17,12:55:30,459,46,55.8,0.1,above,off peak,1
2/28/17,12:56:30,454,46.2,55.8,0,above,off peak,1
2/28/17,12:57:30,458,45.8,55.8,0,above,off peak,1
2/28/17,12:58:30,459,46.4,55.9,0,above,off peak,1
2/28/17,12:59:30,461,46.4,55.3,0,above,off peak,1
2/28/17,13:00:30,449,45.8,55.8,0,above,off peak,1
2/28/17,13:01:30,451,46.2,56.2,0,above,off peak,1
2/28/17,13:02:30,445,46,56.1,0.1,above,off peak,1
2/28/17,13:03:30,445,45,57.1,0.3,above,off peak,1
2/28/17,13:04:30,465,44.7,57.8,0,above,off peak,1
2/28/17,13:05:30,472,44.8,57.6,0,above,off peak,1
2/28/17,13:06:30,467,44.8,57.6,0,above,off peak,1
2/28/17,13:07:30,450,44.5,57.1,0,above,off peak,1
2/28/17,13:08:30,434,44.3,56.8,0.1,above,off peak,1
2/28/17,13:09:30,434,44.8,56.4,0,above,off peak,1
2/28/17,13:10:30,441,45.6,56.1,0,above,off peak,1
2/28/17,13:11:30,452,46.4,55.4,0,above,off peak,1
2/28/17,13:12:30,448,46.9,54,0,above,off peak,1
2/28/17,13:13:30,453,47.3,54,0.1,above,off peak,1
2/28/17,13:14:30,448,47.2,53.5,0.1,above,off peak,1
2/28/17,13:15:30,446,46.5,53.3,0.1,above,off peak,1
2/28/17,13:16:30,445,45.6,53.7,0,above,off peak,1
2/28/17,13:17:30,437,45.5,54.4,0,above,off peak,1
2/28/17,13:18:30,441,46.1,54.7,0,above,off peak,1
2/28/17,13:19:30,450,46.8,54.5,0,above,off peak,1
2/28/17,13:20:30,450,46.6,54,0.1,above,off peak,1
2/28/17,13:26:50,574,50.5,57.5,0.1,,,1
2/28/17,13:27:50,544,50,58.3,0,,,1
2/28/17,13:28:50,537,49.7,58.1,0,,,1
2/28/17,13:29:50,537,49.6,58.8,0,,,1
2/28/17,13:30:50,533,49.3,58.8,0,,,1
2/28/17,13:31:50,564,49.4,58.5,0,,,1
2/28/17,13:32:50,546,49.9,58,0,,,1
2/28/17,13:33:50,517,49.8,56.8,0,below,off peak,1
2/28/17,13:34:50,495,49.7,56,0,below,off peak,1
2/28/17,13:35:50,505,49.9,56.5,0,below,off peak,1
2/28/17,13:36:50,517,50.2,56.1,0,below,off peak,1
2/28/17,13:37:50,512,50.4,55.8,0,below,off peak,1
2/28/17,13:38:50,517,50.6,55.4,0,below,off peak,1
2/28/17,13:39:50,515,50.7,54.9,0.1,below,off peak,1
2/28/17,13:40:50,514,50.7,54.4,0,below,off peak,1
2/28/17,13:41:50,513,50.7,54.1,0,below,off peak,1
2/28/17,13:42:50,515,50.7,54.5,0.1,below,off peak,1
2/28/17,13:43:50,526,50.8,55,0,below,off peak,1
2/28/17,13:44:50,539,51.1,55.5,0.1,below,off peak,1
2/28/17,13:45:50,543,51,55.7,0.1,below,off peak,1
2/28/17,13:46:50,548,51,55.6,0.1,below,off peak,1
2/28/17,13:47:50,550,51.1,55.6,0.1,below,off peak,1
2/28/17,13:48:50,544,50.9,55.5,0.1,below,off peak,1
2/28/17,13:49:50,545,50.8,55.9,0.1,below,off peak,1
2/28/17,13:50:50,545,50.9,55.7,0.1,below,off peak,1
2/28/17,13:51:50,540,50.9,55.6,0.1,below,off peak,1
2/28/17,13:52:50,539,51,55.5,0.1,below,off peak,1
2/28/17,13:53:50,526,50.9,54.1,0.1,below,off peak,1
2/28/17,13:54:50,522,50.8,53.9,0.1,below,off peak,1
2/28/17,13:55:50,554,51.1,54.8,0.1,below,off peak,1
2/28/17,13:56:50,541,51.1,54.1,0.1,below,off peak,1
2/28/17,13:57:50,530,51.1,53.8,0.1,below,off peak,1
2/28/17,13:58:50,525,51.1,53.5,0.1,below,off peak,1
2/28/17,13:59:50,519,51,53.1,0.1,below,off peak,1
2/28/17,14:00:50,521,51,53.7,0.1,below,off peak,1
2/28/17,14:01:50,527,51.3,53.3,0,below,off peak,1
2/28/17,14:02:50,540,51.3,54.1,0.1,below,off peak,1
2/28/17,14:03:50,543,51.3,53.5,0.1,below,off peak,1
2/28/17,15:30:31,623,55.2,45.8,0.6,,,1
2/28/17,15:31:31,560,54.1,42.2,0.2,above,peak,1
2/28/17,15:32:31,502,53.1,40.4,0.1,above,peak,1
2/28/17,15:33:31,499,52.4,41.6,0,above,peak,1
2/28/17,15:34:31,551,52.7,44.7,0,above,peak,1
2/28/17,15:35:31,484,51.6,41.5,0,above,peak,1
2/28/17,15:36:31,532,51.9,45.2,0,above,peak,1
2/28/17,15:37:31,576,52.2,48.1,0,above,peak,1
2/28/17,15:38:31,620,52.6,49.5,0.1,above,peak,1
2/28/17,15:39:31,558,52.4,44.6,0,above,peak,1
2/28/17,15:40:31,547,52.3,44.9,0.1,above,peak,1
2/28/17,15:41:31,609,52.6,48.4,0.1,above,peak,1
2/28/17,15:42:31,516,51.1,41.9,0.1,above,peak,1
2/28/17,15:43:31,491,51,41.4,0.1,above,peak,1
2/28/17,15:44:31,495,51.3,41.5,0.1,above,peak,1
2/28/17,15:45:31,527,51.4,44.1,0.1,above,peak,1
2/28/17,15:46:31,558,51.9,46.4,0.1,above,peak,1
2/28/17,15:47:31,590,52.3,49,0.2,above,peak,1
2/28/17,15:48:31,591,52.4,49.5,0.2,above,peak,1
2/28/17,15:49:31,592,52.5,49.1,0.1,above,peak,1
2/28/17,15:50:31,560,52.3,45.6,0.3,above,peak,1
2/28/17,15:51:31,545,52.2,44.8,0.2,above,peak,1
2/28/17,15:52:31,582,52.3,48.2,0.3,above,peak,1
2/28/17,15:53:31,607,52.6,49.2,0.3,above,peak,1
2/28/17,15:54:31,568,51.9,45.9,0.1,above,peak,1
2/28/17,15:55:31,472,50.7,41.2,0.2,above,peak,1
2/28/17,15:56:31,469,50.7,41.2,0.1,above,peak,1
2/28/17,15:57:31,468,50.6,40.9,0,above,peak,1
2/28/17,15:58:31,469,50.8,40.8,0.1,above,peak,1
2/28/17,15:59:31,480,51,41.6,0.1,above,peak,1
2/28/17,16:00:31,512,51.3,43.9,0.1,above,peak,1
2/28/17,16:01:31,549,51.7,45.6,0.3,above,peak,1
2/28/17,16:07:35,575,52.6,47.3,0.2,,,1
2/28/17,16:08:35,583,52.6,48.1,0.3,,,1
2/28/17,16:09:35,569,52.5,48.2,0.1,,,1
2/28/17,16:10:35,570,52.4,49.3,0.1,below,peak,1
2/28/17,16:11:35,591,52.5,50.4,0.2,below,peak,1
2/28/17,16:12:35,587,52.5,49.3,0.3,below,peak,1
2/28/17,16:13:35,595,52.6,49.3,0.2,below,peak,1
2/28/17,16:14:35,591,52.8,49.6,0.2,below,peak,1
2/28/17,16:15:35,591,52.8,49.4,0.2,below,peak,1
2/28/17,16:16:35,596,52.9,48.8,0.1,below,peak,1
2/28/17,16:17:35,601,53,48.5,0.3,below,peak,1
2/28/17,16:18:35,590,53,47.3,0.3,below,peak,1
2/28/17,16:19:35,584,53,47.4,0.1,below,peak,1
2/28/17,16:20:35,577,53,47.2,0.2,below,peak,1
2/28/17,16:21:35,558,52.8,47.2,0.2,below,peak,1
2/28/17,16:22:35,564,52.8,47,0.1,below,peak,1
2/28/17,16:23:35,554,52.6,45.6,0.1,below,peak,1
2/28/17,16:24:35,550,52.4,46,0.1,below,peak,1
2/28/17,16:25:35,570,52.4,47.3,0.1,below,peak,1
2/28/17,16:26:35,584,52.5,48.3,0.2,below,peak,1
2/28/17,16:27:35,600,52.6,48.6,0.1,below,peak,1
2/28/17,16:28:35,618,52.4,49.4,0.2,below,peak,1
2/28/17,16:29:35,616,52.4,48.8,0.1,below,peak,1
2/28/17,16:30:35,607,52.4,48.7,0.1,below,peak,1
2/28/17,16:31:35,614,52.4,49.9,0.1,below,peak,1
2/28/17,16:32:35,632,52.4,50.1,0.1,below,peak,1
2/28/17,16:33:35,628,52.3,49.4,0.2,below,peak,1
2/28/17,16:34:35,627,52.5,49.7,0.2,below,peak,1
2/28/17,16:35:35,622,52.6,49.3,0.1,below,peak,1
2/28/17,16:36:35,618,52.6,48.6,0.1,below,peak,1
2/28/17,16:37:35,617,52.8,48.5,0.2,below,peak,1
2/28/17,16:38:35,598,52.6,47.5,0.1,below,peak,1
2/28/17,16:39:35,587,52.5,46.7,0.1,below,peak,1
2/28/17,16:40:35,597,52.6,47.5,0.2,below,peak,1
3/2/17,12:55:08,482,55.1,51.1,0.1,,,2
3/2/17,12:56:08,451,54.3,53.4,0,above,off peak,2
3/2/17,12:57:08,512,55.1,56.5,0,above,off peak,2
3/2/17,12:58:08,550,55.4,57.5,0,above,off peak,2
3/2/17,12:59:08,543,55.5,57,0,above,off peak,2
3/2/17,13:00:08,528,55.3,57.3,0,above,off peak,2
3/2/17,13:01:08,520,55.2,57.7,0,above,off peak,2
3/2/17,13:02:08,505,55.1,57.3,0,above,off peak,2
3/2/17,13:03:08,468,54.7,55.8,0,above,off peak,2
3/2/17,13:04:08,503,54.9,57.4,0,above,off peak,2
3/2/17,13:05:08,492,54.4,56.5,0,above,off peak,2
3/2/17,13:06:08,492,54.7,56.6,0,above,off peak,2
3/2/17,13:07:08,523,54.9,58.2,0,above,off peak,2
3/2/17,13:08:08,535,54.9,58.8,0,above,off peak,2
3/2/17,13:09:08,480,53.7,57.1,0,above,off peak,2
3/2/17,13:10:08,525,54.6,59.7,0,above,off peak,2
3/2/17,13:11:08,532,54.7,59.6,0,above,off peak,2
3/2/17,13:12:08,523,54.7,58.9,0.1,above,off peak,2
3/2/17,13:13:08,533,54.9,58.7,0.1,above,off peak,2
3/2/17,13:14:08,532,55,58.3,0,above,off peak,2
3/2/17,13:15:08,533,55,59,0.1,above,off peak,2
3/2/17,13:16:08,536,55,59.1,0.1,above,off peak,2
3/2/17,13:17:08,533,54.7,59.4,0,above,off peak,2
3/2/17,13:18:08,513,54.3,59,0,above,off peak,2
3/2/17,13:19:08,540,54.7,60.1,0,above,off peak,2
3/2/17,13:20:08,507,53.8,57.5,0,above,off peak,2
3/2/17,13:21:08,457,53.2,56.6,0,above,off peak,2
3/2/17,13:22:08,527,54,60.1,0,above,off peak,2
3/2/17,13:23:08,544,54.7,60.6,0.1,above,off peak,2
3/2/17,13:24:08,545,54.8,59.9,0,above,off peak,2
3/2/17,13:25:08,547,54.9,59.4,0.1,above,off peak,2
3/2/17,13:26:08,535,54.8,58.6,0.1,above,off peak,2
3/2/17,13:27:08,536,54.9,59.5,0,,,2
3/2/17,13:28:08,531,54.9,59.6,0,,,2
3/2/17,13:36:08,573,55.8,58.1,0,below,off peak,2
3/2/17,13:37:08,557,55.8,57.8,0.1,below,off peak,2
3/2/17,13:38:08,554,55.8,57.8,0,below,off peak,2
3/2/17,13:39:08,553,55.9,58.6,0,below,off peak,2
3/2/17,13:40:08,523,54.6,56.7,0,below,off peak,2
3/2/17,13:41:08,526,54.9,58.5,0,below,off peak,2
3/2/17,13:42:08,537,54.9,58.7,0,below,off peak,2
